date,name,value
2011-04-10,Min,16.6
2011-04-11,Max,24.8
2011-04-11,Min,19.3
2011-04-12,Max,24.6
2011-04-12,Min,19.4
2011-04-13,Max,24.8
2011-04-13,Min,13.3
2011-04-14,Max,25.8
2011-04-14,Min,12.8
2011-04-15,Max,30.8
2011-04-15,Min,11.1
2011-04-16,Max,35.7
2011-04-16,Min,20.5
2011-04-17,Max,27.2
2011-04-17,Min,18.9
2011-04-18,Max,26.3
2011-04-18,Min,19.1
2011-04-19,Max,25.3
2011-04-19,Min,14
2011-04-20,Max,25.6
2011-04-20,Min,11.1
2011-04-21,Max,28.9
2011-04-21,Min,10.3
2011-04-22,Max,32.3
2011-04-22,Min,16.7
2011-04-23,Max,27.2
2011-04-23,Min,17.4
2011-04-24,Max,25.6
2011-04-24,Min,19.2
2011-04-25,Max,26.6
2011-04-25,Min,14.3
2011-04-26,Max,26.1
2011-04-26,Min,12.8
2011-04-27,Max,22.2
2011-04-27,Min,17.1
2011-04-28,Max,20.6
2011-04-28,Min,12.9
2011-04-29,Max,23.1
2011-04-29,Min,8
2011-04-30,Max,23
2011-04-30,Min,7.9
2011-05-01,Max,24.2
2011-05-01,Min,8.3
2011-05-02,Max,25.3
2011-05-02,Min,10.5
2011-05-03,Max,26.5
2011-05-03,Min,11.3
2011-05-04,Max,26.5
2011-05-04,Min,9.8
2011-05-05,Max,25
2011-05-05,Min,8.9
2011-05-06,Max,23
2011-05-06,Min,12.3
2011-05-07,Max,25.2
2011-05-07,Min,12.4
2011-05-08,Max,30
2011-05-08,Min,15.5
2011-05-09,Max,25.3
2011-05-09,Min,12.9
2011-05-10,Max,25.3
2011-05-10,Min,15.3
2011-05-11,Max,23.5
2011-05-11,Min,13.4
2011-05-12,Max,23.3
2011-05-12,Min,10.9
2011-05-13,Max,23
2011-05-13,Min,12.2
2011-05-14,Max,22.6
2011-05-14,Min,12.8
2011-05-15,Max,21.8
2011-05-15,Min,15
2011-05-16,Max,24
2011-05-16,Min,14
2011-05-17,Max,22.4
2011-05-17,Min,14.5
2011-05-18,Max,20.9
2011-05-18,Min,9.7
2011-05-19,Max,24.8
2011-05-19,Min,7.5
2011-05-20,Max,18.5
2011-05-20,Min,15.6
2011-05-21,Max,17.7
2011-05-21,Min,4.5
2011-05-22,Max,20.6
2011-05-22,Min,4.9
2011-05-23,Max,21.2
2011-05-23,Min,5.4
2011-05-24,Max,20.5
2011-05-24,Min,6.9
2011-05-25,Max,20.5
2011-05-25,Min,10.3
2011-05-26,Max,21.5
2011-05-26,Min,12.2
2011-05-27,Max,22.8
2011-05-27,Min,11.6
2011-05-28,Max,24.8
2011-05-28,Min,7.2
2011-05-29,Max,24.6
2011-05-29,Min,6.7
2011-05-30,Max,21.7
2011-05-30,Min,15.2
2011-05-31,Max,21.2
2011-05-31,Min,12
2011-06-01,Max,21.4
2011-06-01,Min,14.6
2011-06-02,Max,19.4
2011-06-02,Min,13.8
2011-06-03,Max,18.5
2011-06-03,Min,7.7
2011-06-04,Max,17
2011-06-04,Min,7
2011-06-05,Max,18.6
2011-06-05,Min,4.6
2011-06-06,Max,19.8
2011-06-06,Min,3.3
2011-06-07,Max,18.8
2011-06-07,Min,5.8
2011-06-08,Max,19.9
2011-06-08,Min,6
2011-06-09,Max,19.9
2011-06-09,Min,12.3
2011-06-10,Max,20.1
2011-06-10,Min,10
2011-06-11,Max,19.8
2011-06-11,Min,10.4
2011-06-12,Max,20.8
2011-06-12,Min,12
2011-06-13,Max,17.5
2011-06-13,Min,8.8
2011-06-14,Max,14.2
2011-06-14,Min,10.1
2011-06-15,Max,19.6
2011-06-15,Min,10.2
2011-06-16,Max,19.4
2011-06-16,Min,12.7
2011-06-17,Max,20.3
2011-06-17,Min,6.6
2011-06-18,Max,20.9
2011-06-18,Min,11.7
2011-06-19,Max,19.7
2011-06-19,Min,11.3
2011-06-20,Max,19.8
2011-06-20,Min,15
2011-06-21,Max,20.5
2011-06-21,Min,11.4
2011-06-22,Max,21.1
2011-06-22,Min,8.7
2011-06-23,Max,21.3
2011-06-23,Min,10.3
2011-06-24,Max,22.6
2011-06-24,Min,13.3
2011-06-25,Max,19.2
2011-06-25,Min,11
2011-06-26,Max,19.5
2011-06-26,Min,9.4
2011-06-27,Max,24.3
2011-06-27,Min,7.9
2011-06-28,Max,16.2
2011-06-28,Min,14.3
2011-06-29,Max,18.4
2011-06-29,Min,10.9
2011-06-30,Max,17.5
2011-06-30,Min,9.8
2011-07-01,Max,17.2
2011-07-01,Min,9.3
2011-07-02,Max,16.7
2011-07-02,Min,9.9
2011-07-03,Max,14.3
2011-07-03,Min,6.6
2011-07-04,Max,15.4
2011-07-04,Min,1.3
2011-07-05,Max,16.4
2011-07-05,Min,1.8
2011-07-06,Max,16.4
2011-07-06,Min,2.6
2011-07-07,Max,15.3
2011-07-07,Min,3.4
2011-07-08,Max,16.6
2011-07-08,Min,4.9
2011-07-09,Max,16.6
2011-07-09,Min,6.3
2011-07-10,Max,14
2011-07-10,Min,3.4
2011-07-11,Max,13
2011-07-11,Min,10.2
2011-07-12,Max,17
2011-07-12,Min,9.8
2011-07-13,Max,19.9
2011-07-13,Min,8.9
2011-07-14,Max,22
2011-07-14,Min,6.2
2011-07-15,Max,19.1
2011-07-15,Min,11.5
2011-07-16,Max,18.4
2011-07-16,Min,10.4
2011-07-17,Max,18.8
2011-07-17,Min,7.3
2011-07-18,Max,19.1
2011-07-18,Min,7.4
2011-07-19,Max,19.9
2011-07-19,Min,9.1
2011-07-20,Max,18.3
2011-07-20,Min,10.3
2011-07-21,Max,19.8
2011-07-21,Min,8.3
2011-07-22,Max,18.7
2011-07-22,Min,8
2011-07-23,Max,19.9
2011-07-23,Min,7.8
2011-07-24,Max,21.7
2011-07-24,Min,10.7
2011-07-25,Max,18.8
2011-07-25,Min,12.4
2011-07-26,Max,20.5
2011-07-26,Min,11.4
2011-07-27,Max,21.4
2011-07-27,Min,9
2011-07-28,Max,20.3
2011-07-28,Min,13.8
2011-07-29,Max,20.5
2011-07-29,Min,14.2
2011-07-30,Max,21
2011-07-30,Min,13.1
2011-07-31,Max,21.1
2011-07-31,Min,15.4
2011-08-01,Max,20.1
2011-08-01,Min,11.3
2011-08-02,Max,20.5
2011-08-02,Min,14.2
2011-08-03,Max,18
2011-08-03,Min,12.2
2011-08-04,Max,16.6
2011-08-04,Min,4.9
2011-08-05,Max,16.3
2011-08-05,Min,3.9
2011-08-06,Max,20.3
2011-08-06,Min,4.7
2011-08-07,Max,20.8
2011-08-07,Min,11.3
2011-08-08,Max,19.5
2011-08-08,Min,13.3
2011-08-09,Max,19
2011-08-09,Min,8.7
2011-08-10,Max,19.4
2011-08-10,Min,4.4
2011-08-11,Max,19.4
2011-08-11,Min,4.3
2011-08-12,Max,22.1
2011-08-12,Min,7.4
2011-08-13,Max,24.6
2011-08-13,Min,11.2
2011-08-14,Max,18.9
2011-08-14,Min,13.6
2011-08-15,Max,20
2011-08-15,Min,10.5
2011-08-16,Max,17.7
2011-08-16,Min,11.5
2011-08-17,Max,18.5
2011-08-17,Min,8.3
2011-08-18,Max,19.6
2011-08-18,Min,8.3
2011-08-19,Max,23.9
2011-08-19,Min,5.7
2011-08-20,Max,23.5
2011-08-20,Min,11.3
2011-08-21,Max,26.3
2011-08-21,Min,14.1
2011-08-22,Max,19
2011-08-22,Min,14.3
2011-08-23,Max,20.9
2011-08-23,Min,7.8
2011-08-24,Max,17.9
2011-08-24,Min,12.9
2011-08-25,Max,19
2011-08-25,Min,5.3
2011-08-26,Max,18.2
2011-08-26,Min,4.6
2011-08-27,Max,19.6
2011-08-27,Min,4.6
2011-08-28,Max,20.7
2011-08-28,Min,6.1
2011-08-29,Max,22.4
2011-08-29,Min,6.5
2011-08-30,Max,20.1
2011-08-30,Min,12.8
2011-08-31,Max,22.2
2011-08-31,Min,10.9
2011-09-01,Max,22.9
2011-09-01,Min,8.9
2011-09-02,Max,17.1
2011-09-02,Min,13.2
2011-09-03,Max,18.4
2011-09-03,Min,8.3
2011-09-04,Max,19.2
2011-09-04,Min,11.2
2011-09-05,Max,19.1
2011-09-05,Min,8.3
2011-09-06,Max,19.8
2011-09-06,Min,7.4
2011-09-07,Max,20
2011-09-07,Min,8.8
2011-09-08,Max,20.2
2011-09-08,Min,6.8
2011-09-09,Max,21.1
2011-09-09,Min,8.6
2011-09-10,Max,22.4
2011-09-10,Min,8.7
2011-09-11,Max,23.9
2011-09-11,Min,6.9
2011-09-12,Max,24.7
2011-09-12,Min,6.4
2011-09-13,Max,21.7
2011-09-13,Min,9.6
2011-09-14,Max,23
2011-09-14,Min,11.5
2011-09-15,Max,21.3
2011-09-15,Min,13.9
2011-09-16,Max,21.5
2011-09-16,Min,14.4
2011-09-17,Max,20.7
2011-09-17,Min,9.2
2011-09-18,Max,17.8
2011-09-18,Min,12.2
2011-09-19,Max,20.2
2011-09-19,Min,11.9
2011-09-20,Max,21.1
2011-09-20,Min,12
2011-09-21,Max,20.2
2011-09-21,Min,12.4
2011-09-22,Max,17.5
2011-09-22,Min,9.5
2011-09-23,Max,19.9
2011-09-23,Min,6.1
2011-09-24,Max,21.7
2011-09-24,Min,5.2
2011-09-25,Max,20.8
2011-09-25,Min,7.1
2011-09-26,Max,17.8
2011-09-26,Min,13.4
2011-09-27,Max,17.1
2011-09-27,Min,9.8
2011-09-28,Max,19.6
2011-09-28,Min,5.1
2011-09-29,Max,22.2
2011-09-29,Min,4.9
2011-09-30,Max,23.3
2011-09-30,Min,11.6
2011-10-01,Max,28.1
2011-10-01,Min,14.3
2011-10-02,Max,22.7
2011-10-02,Min,13.2
2011-10-03,Max,21.1
2011-10-03,Min,13.6
2011-10-04,Max,21.2
2011-10-04,Min,14.7
2011-10-05,Max,22.6
2011-10-05,Min,7.8
2011-10-06,Max,23.7
2011-10-06,Min,9.4
2011-10-07,Max,23
2011-10-07,Min,9
2011-10-08,Max,23.3
2011-10-08,Min,13.2
2011-10-09,Max,26.2
2011-10-09,Min,11.9
2011-10-10,Max,26.6
2011-10-10,Min,13.4
2011-10-11,Max,25.3
2011-10-11,Min,12.8
2011-10-12,Max,22.6
2011-10-12,Min,15.8
2011-10-13,Max,20.8
2011-10-13,Min,15.7
2011-10-14,Max,22.3
2011-10-14,Min,7.2
2011-10-15,Max,28.6
2011-10-15,Min,12.2
2011-10-16,Max,36.3
2011-10-16,Min,19.3
2011-10-17,Max,22.9
2011-10-17,Min,17.6
2011-10-18,Max,19.8
2011-10-18,Min,13.2
2011-10-19,Max,20.8
2011-10-19,Min,8.5
2011-10-20,Max,25.5
2011-10-20,Min,9
